| OTOMRO   |UNIVERSE| INPUTS                                                               =>    OUTPUTS                                                                            | NRG USED   | REACTION TYPE                | CHEMIST WALLET                             | initateReaction() TX HASH                                          | analyseReactions() TX HASH                                         |
|    37383*|bohr    |   Sr-2∙ +  Vi-10⁺ +  Xj-18∙ +   K-34∙ +  Mt-35∙           +       13 => ⬇ Sr-2 + Gj-10 + Xj-18 + K-34 + Mt-35                                    +      12.35 |       0.65 | decay                        | 0xf6e39aed488043217d58d875ec83c597da844500 | 0x9572773a15ad27cba5115aa863c6eddc69dada57f4d6f27b2199f909b29fd989 | 0x2a725b494e28f8c8fe4a93cbb92c72364b380ae5ae1410f79558a68d55cede14 |
|    37384*|bohr    |  Xj-18∙ +   P-23∙ +  Yu-27⁺ +  Kk-70ª +  Kk-71ª           +        4 => ⬇ Xj-18 + P-23 + Cl-27 + Kk-70 + Kk-71                                   +       3.80 |       0.20 | decay                        | 0xf6e39aed488043217d58d875ec83c597da844500 | 0xbd18e5cd852f7c662cdbe80f36cfea235fbeabfcf716b9880fb2c11b6b052aad | 0x7da4196a67f0f5b6dc0a37ab152d36b83d29ddd1a8855d5e63d9cc42f55422e5 |
|    37387*|bohr    |   Sr-1∙ +   Sr-1∙ +   Sr-1∙ +   Sr-1∙                     +      100 =>   Sr₄(Sr-1,Sr-1,Sr-1,Sr-1>)                                              +      91.19 |       8.81 | metallic                     | 0xfea60461324cfa6d07cfe1551599f2bb139c3543 | 0xf9e2340c891e5b8fd46e69ef4acfdc1cd02252d30bc1b13f338de71ac71c2042 | 0xd1ffd3bd0ec15bee324c7dcbf4ca9be1e9cdf57c9cfd735ee66194148cb025aa |
|    37388*|bohr    |   Sr-1∙ +  Gy-67ª                                         +      500 =>   SrGy(Gy-67,Sr-1>)                                                      +     416.30 |      83.70 | metallic                     | 0xfea60461324cfa6d07cfe1551599f2bb139c3543 | 0xbc1edbbb81b775456637c6322101e4f38fb9590d529773e7ea1f70444a046bf8 | 0xd1ffd3bd0ec15bee324c7dcbf4ca9be1e9cdf57c9cfd735ee66194148cb025aa |
|    37390*|bohr    |   Sr-1∙ +  Co-80ª                                         +      350 =>   Sr-1 + Co-80                                                           +     332.50 |      17.50 | none                         | 0xfea60461324cfa6d07cfe1551599f2bb139c3543 | 0xd94f0132297d95c43035849773d460cfec61b37853a102e18cb86ea86ddb304e | 0xd1ffd3bd0ec15bee324c7dcbf4ca9be1e9cdf57c9cfd735ee66194148cb025aa |
|    37399*|bohr    |   Sr-1∙ +   As-5⁺ +   Dz-8∙ +  Eb-21∙ +  Yu-29∙           +       20 => ⬇ Sr-1 + Dz-8 + Eb-21 + EiYu(Ei-5>Yu-29)                                 +       1.13 |      18.87 | chemical, decay              | 0xf0de7e4269a9666b5ac1bdc27595567f712ea42a | 0xdbf4cec34985ab560131775de0c578215a34a8565ff814e79e32fc9ef7ce8352 | 0xaaca58eae2d839749a878b5bd2f8106b7b1f9ec62f64debe53f8fb3cc72b00a1 |
|    37402*|bohr    |   Sr-1∙ +  Mt-32⁺                                         +     1600 => ⬇ Mt-33                                                                  +     967.58 |     632.42 | decay, nuclear               | 0xfea60461324cfa6d07cfe1551599f2bb139c3543 | 0xb8a1961fe24330751a72b8d1642b9aa4fe23f6dda8f64eb3859a695d18e3bb38 | 0x02b84b502c426cb6e937a07ae9dd81660274fefd4640a9d8c12af57f2aa210b7 |
|    37403*|bohr    |   Ei-5∙ +   As-5⁺ +   Dz-9∙ +  Nd-30ª +  Gy-67ª           +       20 => ⬇ Ei-5 + Nd-30 + Gy-67 + DzEi(Dz-9,Ei-5>)                                +       4.46 |      15.54 | metallic, decay              | 0x52c8882da800c3c896cb7cbd1f884c036c193b87 | 0x11c2071e29d875e6f144e02fcb637bd14fb8b6fa8ceb26646b30c7f1350262c8 | 0x5ae065edfd4438f2a53cf1cce8e18dfb22c95222e3e1bd258a055f8164108d6c |
|    37404*|bohr    |   Sr-1∙ +  Gj-11∙ +   T-17∙ +  Xj-17⁺ +  Nd-30ª           +       20 => ⬇ Gj-11 + T-17 + T-17 + SrNd(Sr-1>Nd-30)                                 +       2.96 |      17.04 | chemical, decay              | 0x6948bfcd84295c681f3dd867565a4c22ec6eca22 | 0xd420f0e4220280bbaffdbff0aec0b6ca3d66b0f865ee0c8e336ad0e61cdfc945 | 0xf9d16778de572bd45a7c44aeb65595600b9a3158d580a3b3b3f24e3939ffbab5 |
|    37405*|bohr    |   Ei-4∙ +  Kk-71ª                                         +     1000 =>   Ei-4 + Kk-71                                                           +     950.00 |      50.00 | none                         | 0xfea60461324cfa6d07cfe1551599f2bb139c3543 | 0x38f2b7926157681e2005db00e4249d74f730621e26928a0376d48caf6904df9e | 0x4742175d7f19a35e933001d57a968104c4d40d0d54495a2619d9758eb4e919c9 |
|    37406*|bohr    |  Eb-22∙ +  Yu-29∙                                         +     5000 =>   Wy-51                                                                  +    2827.09 |    2172.91 | nuclear                      | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0x4eb17cccb8ce228bfdb44084c1988e0a5caccc0b206ef6042843c89faa3eb885 | 0xd42e0f871324802244ffd5b797eac8c868bf28973c225d3586c8359db1c59983 |
|    37407*|bohr    |   As-5⁺ +  Eb-22∙                                         +     5000 =>   Cl-27                                                                  +    4262.49 |     737.51 | nuclear                      | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0xed0ba15f7ac5e873fe47155071f6145ffe66a3d6223823c09530542bdac57386 | 0x2c2e6e04631911734af9957b50f345ee42079348982b900d17a01b226855090c |
|    37408*|bohr    |   Sr-1∙ +  Ct-17⁻                                         +     5000 => ⬆ Xj-18                                                                  +    4400.15 |     599.85 | decay, nuclear               | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0x4810204ce4116147ed60be6272bda6d3034d7414e83471b7a8cf14fcc652e841 | 0x589bba215981ef4a88e48ebd2e119de16ee757899b1d2f119c28df730cda141c |
|    37409*|bohr    |  Ro-24ª +  Yv-72ª                                         +     6000 =>   Dd-96                                                                  +    3607.07 |    2392.93 | nuclear                      | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0x844edbee1d07d611e7f387d1e135791c320a33444adbec57ef497edb69cff146 | 0xc19e42220cacbfebc24944faf9b5841fb737cf5f206ed6ce2e5fc28b81467e95 |
|    37410*|bohr    |  Eb-20∙ +  Ro-23ª                                         +     5000 =>   Uq-43                                                                  +    3531.58 |    1468.42 | nuclear                      | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0x601f348247ea21e51da206bfae9ad36d5fc83326a2492adaadca338cb49ea726 | 0x960c61c306c6a7936a98bfe7c102b08cf88e6e04626463bcd093f837d4ebdf4f |
|    37411*|bohr    |   Sr-1∙ +   Sr-2∙ +  Ct-13⁺ +  Cl-25⁺ +  Kk-70ª           +       50 => ⬇ Vi-13 + Kk-70 + Sr₂Ro(Ro-25,Sr-1,Sr-2>)                                +      22.63 |      27.37 | metallic, decay              | 0x74f3cb26c4b5e3ce324c55b0e5f890129d63e28b | 0x37299f254dc67fe9ed827abb33edf31caeca76533f33cb4ba92469fd7de9563c | 0xc02ed517206652ef1246d101d4bc37f508d7f8e3961248869c55d57a4a91a0a0 |
|    37412*|bohr    |  Nd-30ª +  Yv-72ª                                         +     5000 =>   P-22 + Co-80                                                           +    2413.01 |    2586.99 | decay, nuclear               | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0xaf15cb58a9a0a85c477d1a841b85e0109db5ced3b093bf89ca25ce10e0df1b87 | 0xf906ed6b5ae5d6c5ab80c7afba88b76ce0b8bde9cca56188c2d301abdcb3b93d |
|    37413*|bohr    |   Sr-2∙ +  Cl-27∙                                         +     5000 =>   Yu-29                                                                  +    3995.05 |    1004.95 | nuclear                      | 0x9c54a9c609212d2fd034b55cf3b42ba99af52880 | 0xadbeedf4dcd42f50131affb9c4735b5f16f7d8330f605dd2b02f94d905e19560 | 0xe2017a82f98368f9dd1ed8efeeb6fdcf5b270cd6c989b5d11b90666b35617ffa |
|    37414*|bohr    |  Xj-17⁺ +  Xj-18∙                                         +      919 => ⬇ T-17 + Xj-18                                                           +     873.05 |      45.95 | decay                        | 0xa4ac3321fd639a7e2b53da62897955d920c97012 | 0x909a1d16efa6f8966f4f3e74b9ae9a54998535a91facc2620128c5811f5b59ba | 0xa96ae731a14eab109b7291f178c8279e2a08c38351906ad82b7acd0eeaef04c9 |
|    37419*|bohr    |   Sr-1∙ +   Sr-1∙                                         +      104 =>   Sr₂(Sr-1,Sr-1>)                                                        +      96.90 |       7.10 | metallic                     | 0xe44a3ea815410e1c5f90d019035e8b15517d9e78 | 0xee39a35b480bc8466b32014eb49310f1ba9039c7c8c9dcad49d237e265b97a2b | 0xbd29c5307c5477c5f74e3cf93a50fcd3d4ed37f551bff9a29a0d42f247709463 |
